Vic Row,Data Pattern,HC,Aggr. Type,Num. Bitflips,Itr
1054,0x00000000,500000,Double,2490,0
1055,0xFFFFFFFF,1000000,Upper,297,0
1055,0xFFFFFFFF,1000000,Lower,318,0
1055,0xFFFFFFFF,500000,Double,5323,0
1055,0x00000000,1000000,Upper,336,0
1055,0x00000000,1000000,Lower,351,0
1055,0x00000000,500000,Double,2618,0
1056,0xFFFFFFFF,1000000,Upper,246,0
1056,0xFFFFFFFF,1000000,Lower,311,0
1056,0xFFFFFFFF,500000,Double,5250,0
1056,0x00000000,1000000,Upper,369,0
1056,0x00000000,1000000,Lower,265,0
1056,0x00000000,500000,Double,2590,0
1057,0xFFFFFFFF,1000000,Upper,296,0
1057,0xFFFFFFFF,1000000,Lower,327,0
1057,0xFFFFFFFF,500000,Double,5283,0
1057,0x00000000,1000000,Upper,357,0
1057,0x00000000,1000000,Lower,319,0
1057,0x00000000,500000,Double,2551,0
1058,0xFFFFFFFF,1000000,Upper,237,0
1058,0xFFFFFFFF,1000000,Lower,284,0
1058,0xFFFFFFFF,500000,Double,5054,0
1058,0x00000000,1000000,Upper,365,0
1058,0x00000000,1000000,Lower,287,0
1058,0x00000000,500000,Double,2552,0
1059,0xFFFFFFFF,1000000,Upper,360,0
1059,0xFFFFFFFF,1000000,Lower,345,0
1059,0xFFFFFFFF,500000,Double,5338,0
1059,0x00000000,1000000,Upper,336,0
1059,0x00000000,1000000,Lower,328,0
1059,0x00000000,500000,Double,2567,0
1060,0xFFFFFFFF,1000000,Upper,258,0
1060,0xFFFFFFFF,1000000,Lower,305,0
1060,0xFFFFFFFF,500000,Double,5212,0
1060,0x00000000,1000000,Upper,328,0
1060,0x00000000,1000000,Lower,300,0
1060,0x00000000,500000,Double,2532,0
1061,0xFFFFFFFF,1000000,Upper,281,0
1061,0xFFFFFFFF,1000000,Lower,318,0
1061,0xFFFFFFFF,500000,Double,5383,0
1061,0x00000000,1000000,Upper,334,0
1061,0x00000000,1000000,Lower,334,0
1061,0x00000000,500000,Double,2597,0
1062,0xFFFFFFFF,1000000,Upper,224,0
1062,0xFFFFFFFF,1000000,Lower,292,0
1062,0xFFFFFFFF,500000,Double,5158,0
1062,0x00000000,1000000,Upper,330,0
1062,0x00000000,1000000,Lower,328,0
1062,0x00000000,500000,Double,2547,0
1063,0xFFFFFFFF,1000000,Upper,301,0
1063,0xFFFFFFFF,1000000,Lower,312,0
1063,0xFFFFFFFF,500000,Double,5357,0
1063,0x00000000,1000000,Upper,326,0
1063,0x00000000,1000000,Lower,373,0
1063,0x00000000,500000,Double,2695,0
1064,0xFFFFFFFF,1000000,Upper,253,0
1064,0xFFFFFFFF,1000000,Lower,297,0
1064,0xFFFFFFFF,500000,Double,5283,0
1064,0x00000000,1000000,Upper,310,0
1064,0x00000000,1000000,Lower,300,0
1064,0x00000000,500000,Double,2580,0
1065,0xFFFFFFFF,1000000,Upper,303,0
1065,0xFFFFFFFF,1000000,Lower,319,0
1065,0xFFFFFFFF,500000,Double,5433,0
1065,0x00000000,1000000,Upper,307,0
1065,0x00000000,1000000,Lower,333,0
1065,0x00000000,500000,Double,2608,0
1066,0xFFFFFFFF,1000000,Upper,244,0
1066,0xFFFFFFFF,1000000,Lower,277,0
1066,0xFFFFFFFF,500000,Double,5072,0
1066,0x00000000,1000000,Upper,308,0
1066,0x00000000,1000000,Lower,307,0
1066,0x00000000,500000,Double,2498,0
1067,0xFFFFFFFF,1000000,Upper,318,0
1067,0xFFFFFFFF,1000000,Lower,339,0
1067,0xFFFFFFFF,500000,Double,5525,0
1067,0x00000000,1000000,Upper,294,0
1067,0x00000000,1000000,Lower,369,0
1067,0x00000000,500000,Double,2609,0
1068,0xFFFFFFFF,1000000,Upper,279,0
1068,0xFFFFFFFF,1000000,Lower,307,0
1068,0xFFFFFFFF,500000,Double,5249,0
1068,0x00000000,1000000,Upper,357,0
1068,0x00000000,1000000,Lower,302,0
1068,0x00000000,500000,Double,2583,0
1069,0xFFFFFFFF,1000000,Upper,315,0
1069,0xFFFFFFFF,1000000,Lower,307,0
1069,0xFFFFFFFF,500000,Double,5449,0
1069,0x00000000,1000000,Upper,344,0
1069,0x00000000,1000000,Lower,358,0
1069,0x00000000,500000,Double,2623,0
1070,0xFFFFFFFF,1000000,Upper,253,0
1070,0xFFFFFFFF,1000000,Lower,280,0
1070,0xFFFFFFFF,500000,Double,5100,0
1070,0x00000000,1000000,Upper,326,0
1070,0x00000000,1000000,Lower,309,0
1070,0x00000000,500000,Double,2455,0
