Vic Row,Data Pattern,HC,Aggr. Type,Num. Bitflips,Itr
1050,0x00000000,500000,Double,3557,0
1051,0xFFFFFFFF,1000000,Upper,186,0
1051,0xFFFFFFFF,1000000,Lower,177,0
1051,0xFFFFFFFF,500000,Double,5072,0
1051,0x00000000,1000000,Upper,150,0
1051,0x00000000,1000000,Lower,158,0
1051,0x00000000,500000,Double,3829,0
1052,0xFFFFFFFF,1000000,Upper,146,0
1052,0xFFFFFFFF,1000000,Lower,134,0
1052,0xFFFFFFFF,500000,Double,4567,0
1052,0x00000000,1000000,Upper,141,0
1052,0x00000000,1000000,Lower,131,0
1052,0x00000000,500000,Double,3520,0
1053,0xFFFFFFFF,1000000,Upper,186,0
1053,0xFFFFFFFF,1000000,Lower,196,0
1053,0xFFFFFFFF,500000,Double,4985,0
1053,0x00000000,1000000,Upper,161,0
1053,0x00000000,1000000,Lower,144,0
1053,0x00000000,500000,Double,3720,0
1054,0xFFFFFFFF,1000000,Upper,144,0
1054,0xFFFFFFFF,1000000,Lower,142,0
1054,0xFFFFFFFF,500000,Double,4455,0
1054,0x00000000,1000000,Upper,121,0
1054,0x00000000,1000000,Lower,109,0
1054,0x00000000,500000,Double,3496,0
1055,0xFFFFFFFF,1000000,Upper,187,0
1055,0xFFFFFFFF,1000000,Lower,214,0
1055,0xFFFFFFFF,500000,Double,4927,0
1055,0x00000000,1000000,Upper,154,0
1055,0x00000000,1000000,Lower,173,0
1055,0x00000000,500000,Double,3822,0
1056,0xFFFFFFFF,1000000,Upper,138,0
1056,0xFFFFFFFF,1000000,Lower,146,0
1056,0xFFFFFFFF,500000,Double,4604,0
1056,0x00000000,1000000,Upper,129,0
1056,0x00000000,1000000,Lower,115,0
1056,0x00000000,500000,Double,3493,0
1057,0xFFFFFFFF,1000000,Upper,186,0
1057,0xFFFFFFFF,1000000,Lower,170,0
1057,0xFFFFFFFF,500000,Double,4860,0
1057,0x00000000,1000000,Upper,138,0
1057,0x00000000,1000000,Lower,120,0
1057,0x00000000,500000,Double,3820,0
1058,0xFFFFFFFF,1000000,Upper,143,0
1058,0xFFFFFFFF,1000000,Lower,148,0
1058,0xFFFFFFFF,500000,Double,4409,0
1058,0x00000000,1000000,Upper,135,0
1058,0x00000000,1000000,Lower,115,0
1058,0x00000000,500000,Double,3452,0
1059,0xFFFFFFFF,1000000,Upper,178,0
1059,0xFFFFFFFF,1000000,Lower,185,0
1059,0xFFFFFFFF,500000,Double,5120,0
1059,0x00000000,1000000,Upper,159,0
1059,0x00000000,1000000,Lower,144,0
1059,0x00000000,500000,Double,3800,0
1060,0xFFFFFFFF,1000000,Upper,127,0
1060,0xFFFFFFFF,1000000,Lower,147,0
1060,0xFFFFFFFF,500000,Double,4511,0
1060,0x00000000,1000000,Upper,134,0
1060,0x00000000,1000000,Lower,121,0
1060,0x00000000,500000,Double,3483,0
1061,0xFFFFFFFF,1000000,Upper,177,0
1061,0xFFFFFFFF,1000000,Lower,190,0
1061,0xFFFFFFFF,500000,Double,4938,0
1061,0x00000000,1000000,Upper,146,0
1061,0x00000000,1000000,Lower,138,0
1061,0x00000000,500000,Double,3729,0
1062,0xFFFFFFFF,1000000,Upper,127,0
1062,0xFFFFFFFF,1000000,Lower,142,0
1062,0xFFFFFFFF,500000,Double,4544,0
1062,0x00000000,1000000,Upper,145,0
1062,0x00000000,1000000,Lower,114,0
1062,0x00000000,500000,Double,3466,0
1063,0xFFFFFFFF,1000000,Upper,190,0
1063,0xFFFFFFFF,1000000,Lower,197,0
1063,0xFFFFFFFF,500000,Double,5087,0
1063,0x00000000,1000000,Upper,154,0
1063,0x00000000,1000000,Lower,138,0
1063,0x00000000,500000,Double,3829,0
1064,0xFFFFFFFF,1000000,Upper,139,0
1064,0xFFFFFFFF,1000000,Lower,126,0
1064,0xFFFFFFFF,500000,Double,4424,0
1064,0x00000000,1000000,Upper,123,0
1064,0x00000000,1000000,Lower,118,0
1064,0x00000000,500000,Double,3436,0
1065,0xFFFFFFFF,1000000,Upper,187,0
1065,0xFFFFFFFF,1000000,Lower,177,0
1065,0xFFFFFFFF,500000,Double,5129,0
1065,0x00000000,1000000,Upper,129,0
1065,0x00000000,1000000,Lower,134,0
1065,0x00000000,500000,Double,3640,0
1066,0xFFFFFFFF,1000000,Upper,154,0
1066,0xFFFFFFFF,1000000,Lower,128,0
1066,0xFFFFFFFF,500000,Double,4529,0
1066,0x00000000,1000000,Upper,129,0
1066,0x00000000,1000000,Lower,122,0
1066,0x00000000,500000,Double,3507,0
1067,0xFFFFFFFF,1000000,Upper,190,0
1067,0xFFFFFFFF,1000000,Lower,205,0
1067,0xFFFFFFFF,500000,Double,4954,0
1067,0x00000000,1000000,Upper,154,0
1067,0x00000000,1000000,Lower,152,0
1067,0x00000000,500000,Double,3847,0
1068,0xFFFFFFFF,1000000,Upper,117,0
1068,0xFFFFFFFF,1000000,Lower,146,0
1068,0xFFFFFFFF,500000,Double,4342,0
1068,0x00000000,1000000,Upper,115,0
1068,0x00000000,1000000,Lower,108,0
1068,0x00000000,500000,Double,3502,0
1069,0xFFFFFFFF,1000000,Upper,184,0
1069,0xFFFFFFFF,1000000,Lower,168,0
1069,0xFFFFFFFF,500000,Double,5004,0
1069,0x00000000,1000000,Upper,162,0
1069,0x00000000,1000000,Lower,174,0
1069,0x00000000,500000,Double,3760,0
1070,0xFFFFFFFF,1000000,Upper,133,0
1070,0xFFFFFFFF,1000000,Lower,127,0
1070,0xFFFFFFFF,500000,Double,4368,0
1070,0x00000000,1000000,Upper,110,0
1070,0x00000000,1000000,Lower,116,0
1070,0x00000000,500000,Double,3472,0
1071,0xFFFFFFFF,1000000,Upper,152,0
1071,0xFFFFFFFF,1000000,Lower,204,0
1071,0xFFFFFFFF,500000,Double,4909,0
1071,0x00000000,1000000,Upper,130,0
